iter	Passed	Remaining
0	60	60667
1	104	51954
2	138	46117
3	178	44548
4	221	44128
5	253	41965
6	287	40770
7	321	39883
8	362	39880
9	406	40281
10	443	39897
11	482	39692
12	517	39315
13	558	39344
14	599	39358
15	640	39390
16	701	40534
17	746	40707
18	781	40334
19	820	40197
20	857	39986
21	904	40207
22	943	40092
23	980	39890
24	1018	39722
25	1060	39743
26	1099	39639
27	1143	39684
28	1187	39751
29	1223	39558
30	1267	39606
31	1309	39605
32	1350	39561
33	1390	39515
34	1438	39671
35	1477	39554
36	1514	39411
37	1558	39464
38	1594	39295
39	1628	39086
40	1668	39018
41	1701	38800
42	1734	38608
43	1767	38411
44	1802	38260
45	1835	38075
46	1869	37899
47	1910	37884
48	1944	37745
49	1972	37475
50	2007	37353
51	2041	37209
52	2078	37141
53	2116	37075
54	2164	37186
55	2200	37096
56	2240	37062
57	2275	36963
58	2310	36849
59	2345	36750
60	2382	36679
61	2414	36535
62	2445	36371
63	2471	36152
64	2512	36136
65	2548	36060
66	2580	35931
67	2613	35814
68	2648	35735
69	2678	35590
70	2711	35477
71	2741	35337
72	2771	35189
73	2806	35117
74	2846	35104
75	2888	35112
76	2930	35129
77	2967	35074
78	3005	35040
79	3041	34978
80	3081	34961
81	3119	34923
82	3148	34786
83	3185	34736
84	3221	34675
85	3259	34642
86	3293	34559
87	3334	34559
88	3369	34486
89	3405	34431
90	3448	34450
91	3491	34458
92	3536	34487
93	3581	34520
94	3621	34503
95	3657	34437
96	3705	34492
97	3747	34496
98	3789	34490
99	3830	34478
100	3872	34464
101	3912	34447
102	3959	34483
103	4005	34512
104	4047	34497
105	4086	34461
106	4130	34472
107	4169	34433
108	4213	34444
109	4269	34541
110	4341	34769
111	4391	34816
112	4446	34900
113	4490	34898
114	4532	34880
115	4581	34915
116	4622	34882
117	4664	34866
118	4708	34858
119	4756	34878
120	4800	34869
121	4840	34837
122	4887	34849
123	4934	34858
124	4980	34864
125	5029	34889
126	5075	34887
127	5115	34850
128	5158	34832
129	5194	34766
130	5243	34785
131	5286	34763
132	5325	34713
133	5373	34726
134	5416	34708
135	5459	34684
136	5503	34669
137	5547	34654
138	5595	34660
139	5650	34712
140	5697	34711
141	5749	34742
142	5808	34809
143	5851	34782
144	5894	34758
145	5935	34720
146	5981	34706
147	6025	34689
148	6071	34676
149	6106	34605
150	6144	34550
151	6180	34478
152	6224	34455
153	6264	34414
154	6317	34442
155	6353	34375
156	6398	34356
157	6439	34315
158	6480	34277
159	6527	34269
160	6570	34238
161	6616	34223
162	6659	34195
163	6703	34169
164	6750	34161
165	6793	34132
166	6838	34108
167	6885	34099
168	6923	34042
169	6961	33989
170	7004	33956
171	7053	33952
172	7089	33888
173	7133	33865
174	7175	33826
175	7234	33871
176	7279	33846
177	7321	33809
178	7365	33784
179	7407	33743
180	7444	33686
181	7498	33702
182	7538	33657
183	7583	33630
184	7629	33612
185	7676	33592
186	7727	33595
187	7782	33612
188	7831	33604
189	7883	33607
190	7933	33601
191	7980	33582
192	8028	33571
193	8078	33562
194	8123	33533
195	8162	33483
196	8202	33432
197	8252	33427
198	8303	33421
199	8349	33396
200	8402	33401
201	8446	33369
202	8501	33376
203	8546	33348
204	8590	33315
205	8644	33319
206	8690	33292
207	8734	33259
208	8782	33239
209	8823	33192
210	8866	33154
211	8908	33112
212	8953	33080
213	8996	33044
214	9061	33083
215	9106	33052
216	9157	33041
217	9202	33011
218	9238	32947
219	9278	32898
220	9325	32870
221	9375	32858
222	9421	32827
223	9465	32789
224	9514	32770
225	9563	32753
226	9608	32721
227	9654	32689
228	9689	32623
229	9734	32588
230	9779	32555
231	9825	32524
232	9866	32479
233	9916	32460
234	9969	32453
235	10026	32459
236	10081	32455
237	10124	32414
238	10161	32356
239	10204	32315
240	10248	32276
241	10294	32246
242	10345	32228
243	10397	32215
244	10443	32184
245	10491	32156
246	10537	32124
247	10573	32061
248	10629	32057
249	10671	32014
250	10716	31977
251	10762	31944
252	10806	31907
253	10858	31890
254	10907	31866
255	10953	31833
256	11000	31801
257	11037	31744
258	11086	31718
259	11136	31695
260	11182	31663
261	11223	31615
262	11265	31569
263	11311	31535
264	11353	31489
265	11401	31461
266	11448	31429
267	11489	31381
268	11533	31341
269	11580	31310
270	11628	31280
271	11678	31257
272	11724	31223
273	11776	31202
274	11825	31175
275	11878	31159
276	11924	31124
277	11970	31088
278	12016	31053
279	12065	31024
280	12108	30981
281	12150	30936
